,Row,Date,Company Name,Ticker,Broker,Analyst,Rating Before,Rating After,Price Target Before,Price Target After,Rating Action
243,234,6/6/2025,Lululemon Athletica,LULU,,Jay Sole,Neutral,Neutral,290,290,No Change
244,199,6/6/2025,Lululemon Athletica,LULU,,Ike Boruchow,Equal Weight,Equal Weight,270,270,No Change
245,166,6/6/2025,Lululemon Athletica,LULU,,Dana Telsey,Outperform,Outperform,360,360,No Change
246,199,6/6/2025,Lululemon Athletica,LULU,,Ike Boruchow,Equal Weight,Equal Weight,270,270,No Change
247,332,6/6/2025,Lululemon Athletica,LULU,Td Cowen,John Kernan,Buy,Buy,373,321,No Change
248,618,6/24/2025,Lululemon Athletica,LULU,Jefferies,Randal Konik,Underperform,Underperform,200,175,No Change
249,91,7/29/2025,Lululemon Athletica,LULU,,Anna Andreeva,Neutral,Neutral,200,200,No Change
250,91,7/29/2025,Lululemon Athletica,LULU,,Anna Andreeva,Neutral,Neutral,200,200,No Change
251,432,8/11/2025,Lululemon Athletica,LULU,,Mark Altschwager,Outperform,Outperform,260,260,No Change
252,235,8/18/2025,Lululemon Athletica,LULU,,Jay Sole,Neutral,Neutral,240,240,No Change
253,201,8/19/2025,Lululemon Athletica,LULU,,Ike Boruchow,Equal Weight,Equal Weight,205,205,No Change
254,377,8/26/2025,Lululemon Athletica,LULU,,Lorraine Hutchinson,Buy,Buy,300,300,No Change
255,769,8/29/2025,Lululemon Athletica,LULU,,Tom Nikic,Buy,Buy,238,238,No Change
256,149,8/29/2025,Lululemon Athletica,LULU,,Dana Telsey,Outperform,Outperform,360,360,No Change
257,149,8/29/2025,Lululemon Athletica,LULU,,Dana Telsey,Outperform,Outperform,360,360,No Change
258,433,9/5/2025,Lululemon Athletica,LULU,,Mark Altschwager,Outperform,Outperform,225,225,No Change
259,770,9/5/2025,Lululemon Athletica,LULU,,Tom Nikic,Buy,Buy,192,192,No Change
