,Row,Date,Company Name,Ticker,Broker,Analyst,Rating Before,Rating After,Price Target Before,Price Target After,Rating Action
23,131,12/7/2017,Lululemon Athletica,LULU,,Dana Telsey,Outperform,Outperform,84,84,No Change
24,131,12/7/2017,Lululemon Athletica,LULU,,Dana Telsey,Outperform,Outperform,84,84,No Change
25,133,1/2/2018,Lululemon Athletica,LULU,,Dana Telsey,Outperform,Outperform,92,92,No Change
26,133,1/2/2018,Lululemon Athletica,LULU,,Dana Telsey,Outperform,Outperform,92,92,No Change
27,634,1/9/2018,Lululemon Athletica,LULU,Needham,Rick Patel,Buy,Buy,84,84,No Change
28,187,3/28/2018,Lululemon Athletica,LULU,Wells Fargo,Ike Boruchow,Market Perform,Market Perform,82,82,No Change
29,187,3/28/2018,Lululemon Athletica,LULU,Wells Fargo,Ike Boruchow,Market Perform,Market Perform,82,82,No Change
30,516,3/28/2018,Lululemon Athletica,LULU,,Oliver Chen,Outperform,Outperform,98,98,No Change
31,637,3/28/2018,Lululemon Athletica,LULU,Needham,Rick Patel,Buy,Buy,84,88,No Change
32,668,6/1/2018,Lululemon Athletica,LULU,Susquehanna,Sam Poser,Positive,Positive,121,121,No Change
33,134,6/1/2018,Lululemon Athletica,LULU,,Dana Telsey,Outperform,Outperform,125,125,No Change
34,255,6/1/2018,Lululemon Athletica,LULU,Stifel,Jim Duffy,Hold,Hold,111,111,No Change
35,134,6/1/2018,Lululemon Athletica,LULU,,Dana Telsey,Outperform,Outperform,125,125,No Change
36,712,6/4/2018,Lululemon Athletica,LULU,Nomura,Simeon Siegel,Buy,Buy,120,120,No Change
37,256,6/8/2018,Lululemon Athletica,LULU,Stifel,Jim Duffy,Hold,Hold,113,113,No Change
38,514,7/9/2018,Lululemon Athletica,LULU,,Oliver Chen,Outperform,Outperform,137,137,No Change
39,551,7/12/2018,Lululemon Athletica,LULU,Citi,Paul Lejuez,Neutral,Neutral,127,127,No Change
40,733,8/15/2018,Lululemon Athletica,LULU,B. Riley,Susan Anderson,Neutral,In Line,112,128,No Change
41,252,8/31/2018,Lululemon Athletica,LULU,Stifel,Jim Duffy,Hold,Hold,150,150,No Change
42,518,10/2/2018,Lululemon Athletica,LULU,,Oliver Chen,Outperform,Outperform,185,185,No Change
43,517,3/28/2019,Lululemon Athletica,LULU,,Oliver Chen,Outperform,Outperform,192,192,No Change
44,136,6/13/2019,Lululemon Athletica,LULU,Telsey Advisory,Dana Telsey,Outperform,Outperform,205,205,No Change
45,313,6/13/2019,Lululemon Athletica,LULU,Td Cowen,John Kernan,Outperform,Outperform,192,200,No Change
46,136,6/13/2019,Lululemon Athletica,LULU,Telsey Advisory,Dana Telsey,Outperform,Outperform,205,205,No Change
47,141,9/6/2019,Lululemon Athletica,LULU,Telsey Advisory,Dana Telsey,Outperform,Outperform,214,214,No Change
48,519,9/6/2019,Lululemon Athletica,LULU,,Oliver Chen,Outperform,Outperform,214,214,No Change
49,141,9/6/2019,Lululemon Athletica,LULU,Telsey Advisory,Dana Telsey,Outperform,Outperform,214,214,No Change
50,453,9/6/2019,Lululemon Athletica,LULU,Jpmorgan,Matthew Boss,Overweight,Overweight,230,230,No Change
51,309,9/17/2019,Lululemon Athletica,LULU,Td Cowen,John Kernan,Outperform,Outperform,214,235,No Change
52,520,9/17/2019,Lululemon Athletica,LULU,,Oliver Chen,Outperform,Outperform,235,235,No Change
53,511,12/3/2019,Lululemon Athletica,LULU,,Oliver Chen,Outperform,Outperform,250,250,No Change
54,325,1/14/2020,Lululemon Athletica,LULU,Td Cowen,John Kernan,Outperform,Outperform,250,270,No Change
55,550,1/16/2020,Lululemon Athletica,LULU,Citi,Paul Lejuez,Neutral,Neutral,245,245,No Change
56,684,2/21/2020,Lululemon Athletica,LULU,Susquehanna,Sam Poser,Positive,Buy,285,310,No Change
57,186,3/16/2020,Lululemon Athletica,LULU,Wells Fargo,Ike Boruchow,Overweight,Overweight,250,250,No Change
58,186,3/16/2020,Lululemon Athletica,LULU,Wells Fargo,Ike Boruchow,Overweight,Overweight,250,250,No Change
59,137,3/24/2020,Lululemon Athletica,LULU,Telsey Advisory,Dana Telsey,Outperform,Outperform,285,230,No Change
60,137,3/24/2020,Lululemon Athletica,LULU,Telsey Advisory,Dana Telsey,Outperform,Outperform,285,230,No Change
61,452,3/27/2020,Lululemon Athletica,LULU,Jpmorgan,Matthew Boss,Overweight,Overweight,209,209,No Change
62,515,6/1/2020,Lululemon Athletica,LULU,,Oliver Chen,Outperform,Outperform,311,311,No Change
63,178,6/2/2020,Lululemon Athletica,LULU,Wells Fargo,Ike Boruchow,Equal Weight,Overweight,275,250,No Change
64,178,6/2/2020,Lululemon Athletica,LULU,Wells Fargo,Ike Boruchow,Equal Weight,Overweight,275,250,No Change
65,135,6/8/2020,Lululemon Athletica,LULU,Telsey Advisory,Dana Telsey,Outperform,Outperform,230,360,No Change
