Row,Date,Company Name,Ticker,Broker,Analyst,Rating Before,Rating After,Price Target Before,Price Target After,Adjusted Close Price (t = 0),Adjusted Close Price (t = 30),Event Type
688,10/31/2024,Starbucks Corp,SBUX,Wedbush,Nick Setyan,Neutral,Neutral,95.0,95.0,,,No Change
565,10/31/2024,Starbucks Corp,SBUX,Citi,Jon Tower,Neutral,Neutral,99.0,99.0,,,No Change
447,10/31/2024,Starbucks Corp,SBUX,,Jeffrey Bernstein,Overweight,Overweight,108.0,108.0,,,No Change
772,11/26/2024,Starbucks Corp,SBUX,,Zachary Fadem,Overweight,Overweight,115.0,115.0,,,No Change
247,1/27/2025,Starbucks Corp,SBUX,Stifel,Chris O'Cull,Buy,Buy,114.0,114.0,,,No Change
448,1/29/2025,Starbucks Corp,SBUX,,Jeffrey Bernstein,Overweight,Overweight,124.0,124.0,,,No Change
773,2/25/2025,Starbucks Corp,SBUX,,Zachary Fadem,Overweight,Overweight,125.0,125.0,,,No Change
566,4/11/2025,Starbucks Corp,SBUX,Citi,Jon Tower,Neutral,Neutral,88.0,88.0,,,No Change
430,4/22/2025,Starbucks Corp,SBUX,,Jeffrey Bernstein,Overweight,Overweight,106.0,106.0,,,No Change
396,4/29/2025,Starbucks Corp,SBUX,Guggenheim,Gregory Francfort,Neutral,Neutral,95.0,83.0,,,No Change
730,4/30/2025,Starbucks Corp,SBUX,Btig,Peter Saleh,Buy,Buy,115.0,105.0,,,No Change
299,4/30/2025,Starbucks Corp,SBUX,Evercore,David Palmer,Outperform,Outperform,105.0,95.0,,,No Change
431,6/26/2025,Starbucks Corp,SBUX,,Jeffrey Bernstein,Overweight,Overweight,108.0,108.0,,,No Change
567,7/14/2025,Starbucks Corp,SBUX,,Jon Tower,Neutral,Neutral,100.0,100.0,,,No Change
432,7/17/2025,Starbucks Corp,SBUX,,Jeffrey Bernstein,Overweight,Overweight,106.0,106.0,,,No Change
334,7/30/2025,Starbucks Corp,SBUX,,David Tarantino,Neutral,Neutral,100.0,100.0,,,No Change
