Row,Date,Company Name,Ticker,Broker,Analyst,Rating Before,Rating After,Price Target Before,Price Target After
432,2020-03-04,Ross Stores Inc,ROST,Roth Mkm,Roxanne Meyer,Buy,Buy,124,124
371,2020-03-20,Ross Stores Inc,ROST,Citi,Paul Lejuez,Buy,Neutral,90,120
39,2020-03-25,Ross Stores Inc,ROST,Goldman Sachs,Alexandra Walvis,Sell,Buy,93,110
460,2020-03-25,Ross Stores Inc,ROST,,Stephen Grambling,Buy,Buy,93,93
219,2020-03-30,Ross Stores Inc,ROST,Morgan Stanley,Kimberly Greenberger,Overweight,Overweight,105,105
321,2020-03-31,Ross Stores Inc,ROST,Nomura,Michael Baker,Neutral,Neutral,80,80
206,2020-04-28,Ross Stores Inc,ROST,D.A. Davidson,John Morris,Buy,Neutral,87,108
73,2020-05-22,Ross Stores Inc,ROST,Telsey Advisory,Dana Telsey,Market Perform,Market Perform,96 » 101,96 » 101
260,2020-05-22,Ross Stores Inc,ROST,Baml,Lorraine Hutchinson,Buy,Buy,110,110
192,2020-05-22,Ross Stores Inc,ROST,Td Cowen,John Kernan,Outperform,Outperform,99,103
220,2020-11-13,Ross Stores Inc,ROST,Morgan Stanley,Kimberly Greenberger,Overweight,Overweight,111,111
223,2020-11-23,Ross Stores Inc,ROST,Morgan Stanley,Kimberly Greenberger,Overweight,Overweight,121,121
211,2021-04-23,Ross Stores Inc,ROST,,Kate Fitzsimons,Outperform,Outperform,130,130
72,2021-05-17,Ross Stores Inc,ROST,Telsey Advisory,Dana Telsey,Outperform,Outperform,145,145
248,2021-10-14,Ross Stores Inc,ROST,Loop Capital,Laura Champine,Hold,Buy,140,105
111,2021-11-11,Ross Stores Inc,ROST,,Gabriella Carbone,Buy,Buy,146,146
181,2021-12-10,Ross Stores Inc,ROST,Td Cowen,John Kernan,Market Perform,Market Perform,109,109
357,2021-12-10,Ross Stores Inc,ROST,,Oliver Chen,Market Perform,Market Perform,109,109
123,2022-01-04,Ross Stores Inc,ROST,Wells Fargo,Ike Boruchow,Equal Weight,Equal Weight,120,120
57,2022-02-10,Ross Stores Inc,ROST,Gordon Haskett,Chuck Grom,Hold,Accumulate,130,106
218,2022-03-02,Ross Stores Inc,ROST,Morgan Stanley,Kimberly Greenberger,Overweight,Overweight,137,137
216,2022-04-26,Ross Stores Inc,ROST,Morgan Stanley,Kimberly Greenberger,Overweight,Overweight,139,139
341,2022-08-19,Ross Stores Inc,ROST,Credit Suisse,Michael Binetti,Outperform,Outperform,99,99
193,2022-08-19,Ross Stores Inc,ROST,Td Cowen,John Kernan,Outperform,Outperform,80,83
140,2022-08-19,Ross Stores Inc,ROST,Wells Fargo,Ike Boruchow,Equal Weight,Equal Weight,90,90
250,2022-08-19,Ross Stores Inc,ROST,Loop Capital,Laura Champine,Hold,Hold,80,85
85,2022-11-18,Ross Stores Inc,ROST,Telsey Advisory,Dana Telsey,Market Perform,Market Perform,120,120
