Row,Date,Company Name,Ticker,Broker,Analyst,Rating Before,Rating After,Price Target Before,Price Target After
238,8/5/2021,Costco Wholesale,COST,Telsey Advisory,Joseph Feldman,Outperform,Outperform,480,480
35,8/5/2021,Costco Wholesale,COST,,Brian Nagel,Outperform,Outperform,480,480
245,9/2/2021,Costco Wholesale,COST,Telsey Advisory,Joseph Feldman,Outperform,Outperform,500,500
47,9/2/2021,Costco Wholesale,COST,,Brian Nagel,Outperform,Outperform,500,500
288,9/24/2021,Costco Wholesale,COST,Telsey Advisory,Joseph Feldman,Outperform,Outperform,480,480
17,9/24/2021,Costco Wholesale,COST,,Bobby Griffin,Outperform,Outperform,490,490
895,9/24/2021,Costco Wholesale,COST,Morgan Stanley,Simeon Gutman,Overweight,Overweight,510,510
596,10/1/2021,Costco Wholesale,COST,,Paul Lejuez,Neutral,Neutral,495,495
18,10/1/2021,Costco Wholesale,COST,,Bobby Griffin,Outperform,Outperform,490,490
383,10/1/2021,Costco Wholesale,COST,Deutsche Bank,Krisztina Katai,Hold,Hold,424,424
896,10/1/2021,Costco Wholesale,COST,Morgan Stanley,Simeon Gutman,Overweight,Overweight,510,510
725,10/1/2021,Costco Wholesale,COST,Credit Suisse,Robert Moskow,Neutral,Neutral,490,490
719,10/1/2021,Costco Wholesale,COST,Baird,Peter Benedict,Outperform,Outperform,520,520
289,10/1/2021,Costco Wholesale,COST,Telsey Advisory,Joseph Feldman,Outperform,Outperform,480,480
577,10/8/2021,Costco Wholesale,COST,Td Cowen,Oliver Chen,Outperform,Outperform,520,520
490,11/2/2021,Costco Wholesale,COST,Stifel,Mark Astrachan,Buy,Buy,515,515
290,11/5/2021,Costco Wholesale,COST,Telsey Advisory,Joseph Feldman,Outperform,Outperform,540,540
19,11/5/2021,Costco Wholesale,COST,,Bobby Griffin,Outperform,Outperform,540,540
764,11/10/2021,Costco Wholesale,COST,Oppenheimer,Rupesh Parikh,Outperform,Outperform,540,540
242,11/10/2021,Costco Wholesale,COST,Telsey Advisory,Joseph Feldman,Outperform,Outperform,540,540
45,11/10/2021,Costco Wholesale,COST,,Brian Nagel,Outperform,Outperform,540,540
79,11/11/2021,Costco Wholesale,COST,Gordon Haskett,Charles Grom,Accumulate,Buy,525,575
20,12/3/2021,Costco Wholesale,COST,,Bobby Griffin,Outperform,Outperform,565,565
589,12/3/2021,Costco Wholesale,COST,,Paul Lejuez,Neutral,Neutral,540,540
36,12/10/2021,Costco Wholesale,COST,,Brian Nagel,Outperform,Outperform,565,565
