,Row,Date,Company Name,Ticker,Broker,Analyst,Rating Before,Rating After,Price Target Before,Price Target After,Score Before,Score After ,Event Type
288,670,2/3/2021,Amazon.com Inc,AMZN,Td Cowen,John Blackledge,Outperform,Outperform,217.5,220,1,1,No change
289,1316,2/3/2021,Amazon.com Inc,AMZN,Stifel,Scott Devitt,Buy,Buy,3800,4100,1,1,No change
290,523,4/1/2021,Amazon.com Inc,AMZN,NaN,Greg Badishkanian,Outperform,Outperform,3720,3720,1,1,No change
291,1428,4/30/2021,Amazon.com Inc,AMZN,Credit Suisse,Stephen Ju,Outperform,Outperform,4000,4000,1,1,No change
292,886,4/30/2021,Amazon.com Inc,AMZN,Canaccord,Maria Ripps,Buy,Buy,4200,4200,1,1,No change
293,244,4/30/2021,Amazon.com Inc,AMZN,Monness Crespi & Hardt,Brian White,Buy,Buy,212.5,225,1,1,No change
294,558,4/30/2021,Amazon.com Inc,AMZN,Wells Fargo,Ike Boruchow,Overweight,Overweight,4500,4500,1,1,No change
295,970,9/17/2021,Amazon.com Inc,AMZN,Evercore,Mark Mahaney,Outperform,Outperform,235,235,1,1,No change
296,510,9/17/2021,Amazon.com Inc,AMZN,Goldman Sachs,Eric Sheridan,Buy,Buy,212.5,212.5,1,1,No change
297,76,10/1/2021,Amazon.com Inc,AMZN,NaN,Brad Erickson,Outperform,Outperform,207.5,207.5,1,1,No change
298,166,10/1/2021,Amazon.com Inc,AMZN,Morgan Stanley,Brian Nowak,Overweight,Overweight,4100,4100,1,1,No change
299,71,10/29/2021,Amazon.com Inc,AMZN,NaN,Brad Erickson,Outperform,Outperform,4200,4100,1,1,No change
300,216,10/29/2021,Amazon.com Inc,AMZN,Morgan Stanley,Brian Nowak,Overweight,Overweight,200,200,1,1,No change
301,526,10/29/2021,Amazon.com Inc,AMZN,NaN,Greg Badishkanian,Outperform,Outperform,4200,4100,1,1,No change
302,90,10/29/2021,Amazon.com Inc,AMZN,Jefferies,Brent Thill,Buy,Hold,210,200,1,0,Downgrade
303,1457,11/1/2021,Amazon.com Inc,AMZN,Credit Suisse,Stephen Ju,Outperform,Outperform,205,205,1,1,No change
304,30,11/1/2021,Amazon.com Inc,AMZN,NaN,Andrew Boone,Market Outperform,Market Outperform,200,200,NaN,NaN,None
305,1289,11/1/2021,Amazon.com Inc,AMZN,NaN,Ross Sandler,Overweight,Overweight,190,190,1,1,No change
306,863,12/2/2021,Amazon.com Inc,AMZN,NaN,Lloyd Walmsley,Buy,Buy,4700,4700,1,1,No change
307,1054,12/2/2021,Amazon.com Inc,AMZN,NaN,Michael Lasser,Buy,Buy,4700,4700,1,1,No change
308,424,2/4/2022,Amazon.com Inc,AMZN,Jpmorgan,Doug Anmuth,Overweight,Overweight,217.5,225,1,1,No change
309,21,2/4/2022,Amazon.com Inc,AMZN,Raymond James,Aaron Kessler,Outperform,Outperform,192,197.5,1,1,No change
310,1055,2/4/2022,Amazon.com Inc,AMZN,NaN,Michael Lasser,Buy,Buy,4100,4100,1,1,No change
