Row,Date,Company Name,Ticker,Broker,Analyst,Rating Before,Rating After,Price Target Before,Price Target After,Event Type
326,2016-08-16,Costco Wholesale,COST,Citi,Kate Mcshane,Neutral,Neutral,172,172,No Change
330,2016-09-30,Costco Wholesale,COST,Citi,Kate Mcshane,Neutral,Neutral,167,167,No Change
614,2016-12-05,Costco Wholesale,COST,Deutsche Bank,Paul Trussell,Buy,Buy,194,194,No Change
48,2017-01-11,Costco Wholesale,COST,Oppenheimer,Brian Nagel,Outperform,Outperform,175,185,No Change
310,2017-03-03,Costco Wholesale,COST,Barclays,Karen Short,Equal Weight,Equal Weight,170,170,No Change
558,2017-03-03,Costco Wholesale,COST,Td Cowen,Oliver Chen,Outperform,Outperform,170,190,No Change
70,2017-05-09,Costco Wholesale,COST,,Charles Grom,Accumulate,Accumulate,191,191,No Change
462,2017-05-26,Costco Wholesale,COST,Stifel,Mark Astrachan,Buy,Buy,191,191,No Change
329,2017-10-06,Costco Wholesale,COST,Citi,Kate Mcshane,Buy,Buy,190,190,No Change
463,2017-11-30,Costco Wholesale,COST,Stifel,Mark Astrachan,Buy,Buy,185,185,No Change
327,2018-06-01,Costco Wholesale,COST,Citi,Kate Mcshane,Buy,Buy,222,222,No Change
104,2018-06-01,Costco Wholesale,COST,,Christopher Horvers,Overweight,Overweight,212,212,No Change
910,2018-07-12,Costco Wholesale,COST,,Zachary Fadem,Outperform,Outperform,235,235,No Change
160,2018-07-12,Costco Wholesale,COST,Wells Fargo,Edward Kelly,Outperform,Outperform,235,235,No Change
64,2018-07-25,Costco Wholesale,COST,Gordon Haskett,Charles Grom,Accumulate,Buy,222,235,No Change
771,2018-08-21,Costco Wholesale,COST,Oppenheimer,Rupesh Parikh,Outperform,Outperform,210,250,No Change
464,2018-09-07,Costco Wholesale,COST,Stifel,Mark Astrachan,Buy,Buy,245,245,No Change
916,2018-09-14,Costco Wholesale,COST,,Zachary Fadem,Market Perform,Market Perform,235,235,No Change
105,2018-09-17,Costco Wholesale,COST,,Christopher Horvers,Overweight,Overweight,255,255,No Change
514,2018-10-05,Costco Wholesale,COST,Deutsche Bank,Michael Baker,Hold,Hold,223,223,No Change
625,2018-10-05,Costco Wholesale,COST,,Paul Trussell,Hold,Hold,223,223,No Change
908,2018-12-14,Costco Wholesale,COST,,Zachary Fadem,Market Perform,Market Perform,220,220,No Change
236,2019-04-09,Costco Wholesale,COST,Telsey Advisory,Joseph Feldman,Outperform,Outperform,265,265,No Change
32,2019-04-17,Costco Wholesale,COST,,Brian Nagel,Outperform,Outperform,270,270,No Change
913,2019-05-09,Costco Wholesale,COST,,Zachary Fadem,Market Perform,Market Perform,240,240,No Change
53,2019-05-16,Costco Wholesale,COST,Raymond James,Budd Bugatch,Outperform,Outperform,250,260,No Change
461,2019-07-11,Costco Wholesale,COST,Stifel,Mark Astrachan,Buy,Buy,289,289,No Change
810,2019-09-06,Costco Wholesale,COST,Rbc,Scot Ciccarelli,Outperform,Outperform,299,321,No Change
161,2019-09-06,Costco Wholesale,COST,,Edward Kelly,Market Perform,Market Perform,290,290,No Change
915,2019-09-06,Costco Wholesale,COST,,Zachary Fadem,Market Perform,Market Perform,290,290,No Change
223,2019-09-09,Costco Wholesale,COST,,Jason Derise,Buy,Buy,335,335,No Change
624,2019-10-01,Costco Wholesale,COST,,Paul Trussell,Hold,Hold,274,274,No Change
243,2019-10-04,Costco Wholesale,COST,,Joseph Feldman,Outperform,Outperform,329,329,No Change
623,2019-11-07,Costco Wholesale,COST,,Paul Trussell,Hold,Hold,286,286,No Change
615,2019-12-13,Costco Wholesale,COST,,Paul Trussell,Hold,Hold,288,288,No Change
217,2020-03-06,Costco Wholesale,COST,,Jason Derise,Buy,Buy,355,355,No Change
513,2020-03-06,Costco Wholesale,COST,Nomura,Michael Baker,Neutral,Neutral,310,310,No Change
613,2020-04-09,Costco Wholesale,COST,Deutsche Bank,Paul Trussell,Hold,Hold,295,295,No Change
620,2020-05-07,Costco Wholesale,COST,Deutsche Bank,Paul Trussell,Hold,Hold,290,290,No Change
619,2020-06-04,Costco Wholesale,COST,Deutsche Bank,Paul Trussell,Hold,Hold,297,297,No Change
39,2020-07-09,Costco Wholesale,COST,,Brian Nagel,Outperform,Outperform,355,355,No Change
617,2020-07-09,Costco Wholesale,COST,Deutsche Bank,Paul Trussell,Hold,Hold,298,298,No Change
618,2020-07-30,Costco Wholesale,COST,Deutsche Bank,Paul Trussell,Hold,Hold,299,299,No Change
587,2020-08-06,Costco Wholesale,COST,Citi,Paul Lejuez,Neutral,Neutral,345,345,No Change
46,2020-09-03,Costco Wholesale,COST,,Brian Nagel,Outperform,Outperform,400,400,No Change
244,2020-09-03,Costco Wholesale,COST,,Joseph Feldman,Outperform,Outperform,400,400,No Change
246,2020-09-25,Costco Wholesale,COST,,Joseph Feldman,Outperform,Outperform,365,365,No Change
41,2021-03-05,Costco Wholesale,COST,,Brian Nagel,Outperform,Outperform,395,395,No Change
240,2021-03-05,Costco Wholesale,COST,Telsey Advisory,Joseph Feldman,Outperform,Outperform,395,395,No Change
1,2021-03-11,Costco Wholesale,COST,,Zachary Fadem,Equal Weight,Overweight,340,370,No Change
162,2021-03-11,Costco Wholesale,COST,Wells Fargo,Edward Kelly,Overweight,Equal Weight,340,370,No Change
325,2021-04-08,Costco Wholesale,COST,Goldman Sachs,Kate Mcshane,Buy,Buy,350,350,No Change
34,2021-04-08,Costco Wholesale,COST,,Brian Nagel,Outperform,Outperform,400,400,No Change
907,2021-04-08,Costco Wholesale,COST,,Zachary Fadem,Overweight,Overweight,400,400,No Change
466,2021-04-08,Costco Wholesale,COST,Stifel,Mark Astrachan,Buy,Buy,370,385,No Change
43,2021-05-18,Costco Wholesale,COST,,Brian Nagel,Outperform,Outperform,425,425,No Change
241,2021-05-28,Costco Wholesale,COST,Telsey Advisory,Joseph Feldman,Outperform,Outperform,415,415,No Change
871,2021-06-01,Costco Wholesale,COST,Morgan Stanley,Simeon Gutman,Overweight,Overweight,415,415,No Change
590,2021-06-02,Costco Wholesale,COST,,Paul Lejuez,Neutral,Neutral,400,400,No Change
911,2021-06-02,Costco Wholesale,COST,,Zachary Fadem,Overweight,Overweight,415,415,No Change
239,2021-07-09,Costco Wholesale,COST,Telsey Advisory,Joseph Feldman,Outperform,Outperform,440,440,No Change
40,2021-07-09,Costco Wholesale,COST,,Brian Nagel,Outperform,Outperform,440,440,No Change
869,2021-07-09,Costco Wholesale,COST,Morgan Stanley,Simeon Gutman,Overweight,Overweight,425,425,No Change
238,2021-08-05,Costco Wholesale,COST,Telsey Advisory,Joseph Feldman,Outperform,Outperform,480,480,No Change
35,2021-08-05,Costco Wholesale,COST,,Brian Nagel,Outperform,Outperform,480,480,No Change
245,2021-09-02,Costco Wholesale,COST,Telsey Advisory,Joseph Feldman,Outperform,Outperform,500,500,No Change
47,2021-09-02,Costco Wholesale,COST,,Brian Nagel,Outperform,Outperform,500,500,No Change
